pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,2550,,,1,,1,Deuce,Gianluca Ballotta,Near,1.0,Body,-78.74333989,181.7892497811834,,,,,,25.06285542430901,-458.059591,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,1.0,1,True,,Ruining Huang,Gianluca Ballotta,,,,,,1st Serve In,Body,
0-0,0-0,0-0,,3520,1.0,3520.0,1,,2,Deuce,Gianluca Ballotta,Near,,,,,,,,,,-101.9708771,454.8808836,Down the Line,Backhand,,,,,,,,,,-150.1155129,-137.4249508,1.0,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,1,False,,Ruining Huang,Ruining Huang,,,,Ruining Huang,,,,Short
15-0,0-0,0-0,1.0,20290,1.0,29650.0,2,,1,Ad,Gianluca Ballotta,Near,0.0,Body,79.79555992996752,309.5820428694814,0.0,T,38.50072725282351,-3.158267717,,-48.25674759,-446.6962653,,,,,,,,,,,,,,,,,1.0,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,1,False,,Ruining Huang,Gianluca Ballotta,,,1,Ruining Huang,,Double Fault,T,
15-15,0-0,0-0,1.0,51220,,,3,,1,Deuce,Gianluca Ballotta,Near,1.0,Wide,-129.0811789,174.94181977243807,,,,,,9.989621609793614,-456.275678,,,1.0,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,,1,False,,Ruining Huang,Gianluca Ballotta,,,,,,1st Serve In,Wide,
15-15,0-0,0-0,,52470,1.0,52470.0,3,,2,Deuce,Gianluca Ballotta,Near,,,,,,,,,,-184.2054899,520.6685586174037,Down the Line,Backhand,,,,,,,,,,-68.53600175,-506.9163222,,,,,1.0,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,1,False,,Ruining Huang,Ruining Huang,,,,Gianluca Ballotta,1,,,Long
30-15,0-0,0-0,1.0,69150,,,4,,1,Ad,Gianluca Ballotta,Near,1.0,T,40.00005468064425,226.6281386700492,,,,,,-75.31939523,-450.583738,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,1,False,,Ruining Huang,Gianluca Ballotta,,,,,,1st Serve In,T,
30-15,0-0,0-0,,70089,1.0,70089.0,4,,2,Ad,Gianluca Ballotta,Near,,,,,,,,,,77.52480861763274,469.2345582,Crosscourt,Backhand,,,,,,,,,,-168.5352964,-211.102745,,1.0,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,1,False,,Ruining Huang,Ruining Huang,1.0,,,Gianluca Ballotta,1,,,
40-15,0-0,0-0,1.0,86190,,,5,,1,Deuce,Gianluca Ballotta,Near,1.0,T,-31.39213692,175.42731846010184,,,,,,22.334164479428537,-448.7895287,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,1.0,1,False,,Ruining Huang,Gianluca Ballotta,,,,,,1st Serve In,T,
40-15,0-0,0-0,,87050,,,5,,2,Deuce,Gianluca Ballotta,Near,,,,,,,,,,-36.79998906,462.0577209096475,Crosscourt,Forehand,,,,,,,,,,14.329560367446666,-312.5282972,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,1,False,,Ruining Huang,Ruining Huang,1.0,,,,,,,Short
40-15,0-0,0-0,,88519,,,5,,3,Deuce,Gianluca Ballotta,Near,,,,,,,,,,1.1015201224841205,-503.213878,Crosscourt,Forehand,,,,,,,,,,-99.55846457,216.42692475929329,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,1,False,,Ruining Huang,Gianluca Ballotta,1.0,,,,,,,Short
